sentence_id,sentence,extraction_id_1,extraction_1,extraction_id_2,extraction_2
86,"It is not really passable , and must be done on foot if attempted .",86a,It; is not; really passable&#10;It; must be done; on foot,86b,It; is not; really passable&#10;It; must be done; on foot&#10;It; attempted;
25,"But this practice simply reduces government interest costs rather than truly canceling government debt , and can result in hyperinflation if used unsparingly .",25a,this practice; simply reduces; government interest costs rather than truly canceling government debt&#10;this practice; can result; in hyperinflation,25b,this practice; simply reduces; government interest costs rather than truly canceling government debt&#10;this practice; can result; in hyperinflation
15,"Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .",15a,"Applications; can use; this service to record activity for a production system implementations of other debugging while OSIDs can use the service&#10;Applications; can use this service to record; activity for a production system development debugging implementations of other OSIDs can the service to record analyzing performance&#10;implementations of other OSIDs; can use; the service to record detailed data during development , debugging , or analyzing performance&#10;implementations of other OSIDs; can use to record; detailed data during development , debugging , or analyzing performance",15b,Applications; can use this service to record; activity for a production system to record detailed data during development performance&#10;implementations of other OSIDs; can use; the service to record detailed data during development performance&#10;implementations of other OSIDs; can use to record; detailed data during development performance&#10;Applications; can use this service to record; activity for a production system to record detailed data debugging performance&#10;implementations of other OSIDs; can use; the service to record detailed data during debugging performance&#10;implementations of other OSIDs; can use to record; detailed data during debugging performance&#10;Applications; can use; this service to record activity for a production system implementations of other while OSIDs can use the service&#10;Applications; can use this service to record; activity for a production system&#10;implementations of other OSIDs; can use; the service to record detailed data during analyzing performance&#10;implementations of other OSIDs; can use to record; detailed data during analyzing performance
14,And he was in Ali \'s army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .,14a,he; was; in Ali \'s army in the Battle of Jamal later&#10;it; was; Muhammad ibn Abu Bakr escorted Aisha back to Madina later&#10;Muhammad ibn Abu Bakr; escorted; Aisha back to Madina,14b,he; was; in Ali \'s army in the Battle of Jamal&#10;it; was; Muhammad ibn Abu Bakr later&#10;Muhammad ibn Abu Bakr; escorted; Aisha back to Madina
9,"After leaving \`\` Hex \'\' , Cole went on to appear as Blanche Ingram in the critically acclaimed \`\` Jane Eyre \'\' TV serial for the BBC and guest starred as Lilith in the \`\` Doctor Who \'\' episode \`\` The Shakespeare Code \'\' .",9a,Cole; went on; After leaving \`\` Hex guest in the Doctor episode&#10;Cole; to appear; as Blanche Ingram in the critically acclaimed \`\` Jane Eyre \'\' TV serial for the BBC and guest starred as Lilith in the \`\` Doctor Who \'\' episode&#10;in the critically acclaimed \`\` Jane Eyre \'\' TV serial for the BBC; guest starred; as Lilith in the \`\` Doctor Who \'\' episode,9b,Cole; went on; After leaving \`\` Hex to appear in the for the BBC&#10;Cole; to appear; as Blanche Ingram in the critically acclaimed \`\` Jane Eyre \'\' TV serial for the BBC&#10;Cole; went on; to guest starred as Lilith in the \`\` Doctor Who \'\' episode \`\` After leaving \`\` Hex&#10;Cole; to guest starred; as Lilith in the \`\` Doctor Who \'\' episode
91,"Its cultivation even declined in favour of the Asian species , which was introduced to East Africa early in the common era and spread westward .",91a,Its cultivation; even declined; in favour of the Asian species&#10;the Asian species; was introduced; to East Africa early in the common era&#10;the Asian species; spread; westward,91b,the Asian species; was introduced; to East Africa early in the common era&#10;Its cultivation; even declined; in favour of the Asian species&#10;the Asian species; spread; westward
97,"Language B then begins to supplant language A : the speakers of Language A abandon their own language in favor of the other language , generally because they believe that it will help them achieve certain goals within government , the workplace , and in social settings .",97a,"Language B; begins to supplant; A within ,&#10;them; achieve; certain goals within government , the workplace , and in social settings&#10;the speakers of Language A; abandon; their own language in favor of the other language&#10;Language B; begins; to supplant language A then&#10;it; will help; them achieve certain goals within government , the workplace , and in social settings",97b,Language B; begins to supplant; language A within&#10;them; achieve; certain goals within government&#10;it; will help; them achieve certain goals within government&#10;it; will help; them achieve certain goals the workplace&#10;the speakers of Language A; abandon; their own language in favor of the other language&#10;Language B; begins; to supplant language A then&#10;it; will help; them achieve certain goals in social settings
90,"It was originally aimed at mature entrants to the teaching profession , who could not afford to give up work and undertake a traditional method of teacher training such as the PGCE .",90a,It; was aimed; at mature entrants to the teaching profession originally&#10;the teaching profession; could undertake; and a traditional method of teacher training such as the PGCE&#10;the teaching profession; could not afford; to give up work&#10;the teaching profession; could not afford to give up; work,90b,the teaching profession; could not afford; to give up work&#10;the teaching profession; could not afford to give up; work&#10;It; was aimed; at mature entrants to the teaching profession originally&#10;the teaching profession; could not afford; to undertake a traditional method of teacher training such as the PGCE&#10;the teaching profession; could not afford to undertake; a traditional method of teacher training such as the PGCE
1,A CEN forms an important but small part of a Local Strategic Partnership .,1a,A CEN; forms; an important but small part of a Local Strategic Partnership,1b,A CEN; forms; an important part of a Local Strategic Partnership&#10;A CEN; forms; an small part of a Local Strategic Partnership
68,"In 1990 Kelsang Gyatso became also outspoken against the Geshe Studies Programme , and \`\` made the pursuit of his new programmes compulsory . \'\'",68a,Kelsang Gyatso; became also; outspoken against the Geshe Studies Programme In 1990&#10;Kelsang Gyatso; made; the pursuit of his new programmes compulsory,68b,Kelsang Gyatso; became also; outspoken against the Geshe Studies Programme In 1990
